Year,Month,Day,Hour,Minute,Second,CloudCover
2021,11,16,14,36,35,0.901
2021,11,16,14,36,56,0.905
2021,11,16,14,37,16,0.907
2021,11,16,14,37,37,0.906
2021,11,16,14,37,57,0.906
2021,11,16,14,38,18,0.905
2021,11,16,14,38,38,0.902
2021,11,16,14,38,59,0.900
2021,11,16,14,39,19,0.898
2021,11,16,14,39,40,0.895
2021,11,16,14,40,00,0.894
2021,11,16,14,40,21,0.893
2021,11,16,14,40,41,0.892
2021,11,16,14,41,02,0.892
2021,11,16,14,41,22,0.893
2021,11,16,14,41,43,0.892
2021,11,16,14,42,03,0.890
2021,11,16,14,42,24,0.890
2021,11,16,14,42,44,0.889
2021,11,16,14,43,05,0.888
2021,11,16,14,43,25,0.888
2021,11,16,14,43,46,0.889
2021,11,16,14,44,06,0.889
2021,11,16,14,44,27,0.886
2021,11,16,14,44,47,0.887
2021,11,16,14,45,08,0.889
2021,11,16,14,45,28,0.893
2021,11,16,14,45,49,0.894
2021,11,16,14,46,09,0.893
2021,11,16,14,46,30,0.893
2021,11,16,14,46,50,0.893
2021,11,16,14,47,11,0.894
2021,11,16,14,47,31,0.893
2021,11,16,14,47,52,0.892
2021,11,16,14,48,12,0.891
2021,11,16,14,48,33,0.891
2021,11,16,14,48,53,0.894
2021,11,16,14,49,14,0.900
2021,11,16,14,49,34,0.899
2021,11,16,14,49,55,0.901
2021,11,16,14,50,15,0.903
2021,11,16,14,50,36,0.900
2021,11,16,14,50,56,0.903
2021,11,16,14,51,17,0.900
2021,11,16,14,51,37,0.897
2021,11,16,14,51,57,0.891
2021,11,16,14,52,18,0.885
2021,11,16,14,52,39,0.883
2021,11,16,14,52,59,0.883
2021,11,16,14,53,20,0.883
2021,11,16,14,53,40,0.884
2021,11,16,14,54,01,0.888
2021,11,16,14,54,21,0.888
2021,11,16,14,54,42,0.888
2021,11,16,14,55,02,0.891
2021,11,16,14,55,23,0.899
2021,11,16,14,55,43,0.905
2021,11,16,14,56,04,0.910
2021,11,16,14,56,24,0.914
2021,11,16,14,56,45,0.919
2021,11,16,14,57,05,0.921
2021,11,16,14,57,26,0.924
2021,11,16,14,57,46,0.927
2021,11,16,14,58,07,0.928
2021,11,16,14,58,27,0.927
2021,11,16,14,58,48,0.925
2021,11,16,14,59,08,0.921
2021,11,16,14,59,29,0.917
2021,11,16,14,59,49,0.913
2021,11,16,15,00,10,0.915
2021,11,16,15,00,30,0.909
2021,11,16,15,00,51,0.902
2021,11,16,15,01,12,0.892
2021,11,16,15,01,32,0.884
2021,11,16,15,01,53,0.875
2021,11,16,15,02,13,0.865
2021,11,16,15,02,34,0.856
2021,11,16,15,02,54,0.848
2021,11,16,15,03,14,0.834
2021,11,16,15,03,35,0.828
2021,11,16,15,03,55,0.819
2021,11,16,15,04,16,0.809
2021,11,16,15,04,36,0.799
2021,11,16,15,04,57,0.787
2021,11,16,15,05,17,0.778
2021,11,16,15,05,38,0.770
2021,11,16,15,05,58,0.763
2021,11,16,15,06,19,0.754
2021,11,16,15,06,39,0.749
2021,11,16,15,07,00,0.747
2021,11,16,15,07,20,0.746
2021,11,16,15,07,40,0.743
2021,11,16,15,08,01,0.745
2021,11,16,15,08,21,0.753
2021,11,16,15,08,42,0.766
2021,11,16,15,09,02,0.772
2021,11,16,15,09,23,0.781
2021,11,16,15,09,43,0.789
2021,11,16,15,10,04,0.795
2021,11,16,15,10,24,0.794
2021,11,16,15,10,45,0.792
2021,11,16,15,11,05,0.785
2021,11,16,15,11,25,0.769
2021,11,16,15,11,46,0.751
2021,11,16,15,12,06,0.736
2021,11,16,15,12,27,0.728
2021,11,16,15,12,47,0.718
2021,11,16,15,13,08,0.708
2021,11,16,15,13,28,0.704
2021,11,16,15,13,49,0.702
2021,11,16,15,14,10,0.699
2021,11,16,15,14,30,0.696
2021,11,16,15,14,51,0.691
2021,11,16,15,15,11,0.683
2021,11,16,15,15,32,0.675
2021,11,16,15,15,52,0.667
2021,11,16,15,16,12,0.655
2021,11,16,15,16,33,0.649
2021,11,16,15,16,53,0.646
2021,11,16,15,17,14,0.638
2021,11,16,15,17,34,0.627
2021,11,16,15,17,55,0.616
2021,11,16,15,18,16,0.609
2021,11,16,15,18,36,0.602
2021,11,16,15,18,57,0.600
2021,11,16,15,19,17,0.598
2021,11,16,15,19,38,0.596
2021,11,16,15,19,58,0.596
2021,11,16,15,20,19,0.594
2021,11,16,15,20,39,0.593
2021,11,16,15,21,00,0.592
2021,11,16,15,21,20,0.587
2021,11,16,15,21,41,0.581
2021,11,16,15,22,01,0.578
2021,11,16,15,22,22,0.575
2021,11,16,15,22,42,0.569
2021,11,16,15,23,03,0.565
2021,11,16,15,23,23,0.558
2021,11,16,15,23,44,0.550
2021,11,16,15,24,04,0.541
2021,11,16,15,24,25,0.533
2021,11,16,15,24,45,0.526
2021,11,16,15,25,06,0.521
2021,11,16,15,25,26,0.518
2021,11,16,15,25,47,0.513
2021,11,16,15,26,07,0.507
2021,11,16,15,26,28,0.504
2021,11,16,15,26,48,0.500
2021,11,16,15,27,08,0.497
2021,11,16,15,27,29,0.499
2021,11,16,15,27,50,0.499
2021,11,16,15,28,10,0.498
2021,11,16,15,28,31,0.502
2021,11,16,15,28,51,0.503
2021,11,16,15,29,12,0.508
2021,11,16,15,29,32,0.508
2021,11,16,15,29,52,0.511
2021,11,16,15,30,13,0.520
2021,11,16,15,30,33,0.528
2021,11,16,15,30,54,0.535
2021,11,16,15,31,14,0.539
2021,11,16,15,31,35,0.553
2021,11,16,15,31,55,0.563
2021,11,16,15,32,16,0.576
2021,11,16,15,32,36,0.597
2021,11,16,15,32,57,0.610
2021,11,16,15,33,17,0.630
2021,11,16,15,33,38,0.646
2021,11,16,15,33,58,0.629
2021,11,16,15,34,19,0.648
2021,11,16,15,34,39,0.642
2021,11,16,15,35,00,0.608
2021,11,16,15,35,21,0.695
2021,11,16,15,35,41,0.674
2021,11,16,15,36,02,0.658
2021,11,16,15,36,22,0.646
2021,11,16,15,36,42,0.632
2021,11,16,15,37,03,0.614
2021,11,16,15,37,23,0.696
2021,11,16,15,37,44,0.669
2021,11,16,15,38,04,0.650
2021,11,16,15,38,25,0.687
2021,11,16,15,38,45,0.654
2021,11,16,15,39,06,0.615
2021,11,16,15,39,26,0.602
2021,11,16,15,39,47,0.592
2021,11,16,15,40,07,0.400
2021,11,16,15,40,28,0.414
2021,11,16,15,40,48,0.436
2021,11,16,15,41,09,0.451
2021,11,16,15,41,29,0.478
2021,11,16,15,41,50,0.550
2021,11,16,15,42,10,0.596
2021,11,16,15,42,31,0.587
2021,11,16,15,42,51,0.579
2021,11,16,15,43,11,0.605
2021,11,16,15,43,32,0.607
2021,11,16,15,43,52,0.598
2021,11,16,15,44,13,0.604
2021,11,16,15,44,33,0.624
2021,11,16,15,44,54,0.644
2021,11,16,15,45,14,0.644
2021,11,16,15,45,35,0.662
2021,11,16,15,45,55,0.649
2021,11,16,15,46,16,0.659
2021,11,16,15,46,36,0.682
2021,11,16,15,46,57,0.678
2021,11,16,15,47,17,0.696
2021,11,16,15,47,38,0.686
2021,11,16,15,47,58,0.692
2021,11,16,15,48,19,0.686
2021,11,16,15,48,39,0.683
2021,11,16,15,49,00,0.686
2021,11,16,15,49,20,0.689
2021,11,16,15,49,40,0.677
2021,11,16,15,50,01,0.674
2021,11,16,15,50,22,0.663
2021,11,16,15,50,42,0.650
2021,11,16,15,51,02,0.636
2021,11,16,15,51,23,0.626
2021,11,16,15,51,43,0.624
2021,11,16,15,52,04,0.620
2021,11,16,15,52,24,0.620
2021,11,16,15,52,45,0.621
2021,11,16,15,53,05,0.619
2021,11,16,15,53,26,0.610
2021,11,16,15,53,46,0.599
2021,11,16,15,54,07,0.581
2021,11,16,15,54,27,0.568
2021,11,16,15,54,48,0.555
